6093997|||||Augusto Giacometti|||||(Swiss, 1877 - 1947)|||||Bauer bei der Bestellung seines Ackers|||||Lot 3511 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 3,000 - 4,000 CHF|||||Materials: oil on paper Measurements: 7.36 in. (18.70 cm.) (height) by 7.36 in. (18.70 cm.) (width) Description: design for a glass panel Condition: framed; unframed
6093998|||||Mario Calandri|||||(Italian, 1914 - 1993)|||||Marzo (1); Angurie (2)|||||Lot 14 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  600 - 900 EUR|||||Materials: etching Measurements: 15.75 in. (40.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Size Notes: (1); 32 x 25 cm (2); slab Edition: 80 of 80 (1); 46 of 90 (2) Description: two works in lot; 1988 (1) Markings: signed l.r.; editioned l.l. Literature: "Mario Calandri" presentazione di Leonardo Sciascia Edizioni Grafica Internazionale Torino 1988
6093999|||||Osmo Rauhala|||||(Finnish, 1957)|||||Houdini's birthday II|||||Lot 153 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  800 - 1,200 EUR|||||Materials: Beeswax on canvas on panel Measurements: 15.31 in. (38.90 cm.) (height) by 37.09 in. (94.20 cm.) (width) Size Notes: both Description: diptych Markings: Signed, titled and dated 94 on the reverse of the left part Provenance: Art Gallery Nanky de Vreeze, Amsterdam (1994) (incl. copy of invoice). Corporate collection, The Netherlands
6094000|||||Liliana Porter|||||(Argentine, 1941)|||||DiAlogo con eso|||||Lot 154 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  800 - 1,200 EUR|||||Materials: Color lithograph on cardboard with resin boar's head Measurements: 21.65 in. (55.00 cm.) (height) by 29.53 in. (75.00 cm.) (width) Edition: 26 of 50 Markings: Signed and dated '04 l.r. Titled and numbered 26/50 l.r. Provenance: PolAgrafa Obra GrAfica, Barcelona (2007) (incl. copy of invoice). Corporate collection, The Netherlands
6094001|||||Kazuhide Takahama|||||(Japanese, 1930)|||||Table-Console|||||Lot 201 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  800 - 1,200 EUR|||||Materials: multilayer panels of coral red lacquered wood Measurements: 28.74 in. (73.00 cm.) (height) by 47.24 in. (120.00 cm.) (width) Size Notes: length: 166 cm.; overall width Description: produced by Simaon International for Gavina Condition: scratches, stains, wear and tear
6094002|||||Jannes Roeland|||||(Dutch, 1935)|||||Composition with trousers and egg|||||Lot 155 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,500 - 2,500 EUR|||||Materials: Oil on canvas Measurements: 47.13 in. (119.70 cm.) (height) by 31.38 in. (79.70 cm.) (width) Markings: Signed and dated 69 on the reverse Provenance: Acquired directly from the artist by the present owner in the early seventies
6094003|||||Robert Hainard|||||(Swiss, 1906 - 1999)|||||Les Botenittes|||||Lot 3512 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 700 - 900 CHF|||||Materials: color woodcut Measurements: 15.71 in. (39.90 cm.) (height) by 13.50 in. (34.30 cm.) (width) Size Notes: sheet size Edition: 14 of 70 Markings: signed in pencil l.l.; signed, titled and inscribed 'Gryon, 14 mars 1943' and numbered in print l.r. Condition: framed; slightly damaged margins; foxed sheet; few creases
6094004|||||Roger Raveel|||||(Belgian, 1921 - 2013)|||||Toen zat zij aan een tafel - Kijken in de leegte van een rechthoek (tweeluik)|||||Lot 156 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,000 - 1,500 EUR|||||Materials: Silk screen Measurements: 38.58 in. (98.00 cm.) (height) by 26.77 in. (68.00 cm.) (width) Size Notes: both approx. Edition: 119 of 125 Description: two works in lot Markings: Both signed and numbered 119/125
6094005|||||Eugene Brands|||||(Dutch, 1913 - 2002)|||||Camping|||||Lot 157 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,000 - 2,000 EUR|||||Materials: Gouache on paper Measurements: 19.69 in. (50.00 cm.) (height) by 8.62 in. (21.90 cm.) (width) Markings: Signed l.r. Signed, titled and dated 8 maart 1973-7 on the reverse
6094006|||||Jef Diederen|||||(Dutch, 1920 - 2009)|||||Negen repen|||||Lot 158 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  800 - 1,200 EUR|||||Materials: Gouache, ink and collage on paper Measurements: 53.74 in. (136.50 cm.) (height) by 26.81 in. (68.10 cm.) (width) Markings: Signed and dated '71 l.r. Signed, titled and dated 1971 on artist's label on the reverse
6094007|||||Massimo Campigli|||||(Italian, 1895 - 1971)|||||Bagnanti|||||Lot 16 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  1,000 - 1,500 EUR|||||Materials: lithograph Measurements: 18.90 in. (48.00 cm.) (height) by 24.80 in. (63.00 cm.) (width) Edition: 75 of 175 Description: eight color Markings: signed and dated l.r.; editioned l.l.; label verso; blindstamp 'L'Oeuvre Gravee' l.l. Exhibited: Il Girasole Galleria d'Arte Moderna Udine Literature: Catalogo Generale Meloni tav. 156
6094008|||||Jef Diederen|||||(Dutch, 1920 - 2009)|||||La Vigne II|||||Lot 159 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,500 - 2,500 EUR|||||Materials: Acrylic on canvas Measurements: 31.50 in. (80.00 cm.) (height) by 23.62 in. (60.00 cm.) (width) Markings: Signed and dated '97 on the reverse. Titled and dated 1997 on artist's label on the stretcher Provenance: Galerie de Vis, Harlingen (2001) (incl. original invoice). Private collection, The Netherlands
