6102196|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Le Maitre Potier|||||Lot 128 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 700 - 900 USD|||||Materials: woodblock print Measurements: Edition: 88/350 Markings: signed l.r. in pencil above buttefly seal; with seals of carver and printer l.r.; numbered '88/350' verso Condition: slightly toned and creased
6102197|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Vendeur de Masques|||||Lot 129 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: woodblock print Measurements: Edition: 225/350 Markings: signed l.l. in pencil above butterfly seal; with seals of carver and printer l.r.; numbered '225/350'
6102198|||||Giovanni Fattori|||||(Italian, 1825 - 1908)|||||Cavalleggeri in vedetta|||||Lot 105 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  8,000 - 12,000 EUR|||||Materials: pen and brown ink, brown and grey watercolor, and graphite pencil traces on ivory paper Measurements: 7.28 in. (18.50 cm.) (height) by 12.52 in. (31.80 cm.) (width) Description: with certificate of registration with Istituto Matteucci (2001, archive no. 81663) Markings: signed, l.l. Condition: framed
6102199|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Lahomme accroupi. Chinois|||||Lot 131 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 500 - 700 USD|||||Materials: woodblock print Measurements: Edition: 287/350 Markings: signed l.r. in pencil above owl seal; with seals of carver and printer l.r.; numbered '287/350' verso Condition: adhesive tape verso; some creasing
6102200|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||LaHomme accroupi. Chinois|||||Lot 132 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 500 - 700 USD|||||Materials: woodblock print Measurements: 18.50 in. (46.99 cm.) (height) by 14.00 in. (35.56 cm.) (width) Edition: 157/250 Markings: signed l.l. in pencil above owl seal; with seals of two carvers l.r.; numbered '157/250' verso Condition: damaged verso
6102201|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||La Mariee|||||Lot 133 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 900 - 1,600 USD|||||Materials: woodblock print Measurements: 18.00 in. (45.72 cm.) (height) by 13.90 in. (35.31 cm.) (width) Edition: 268/350 Markings: signed l.l. in pencil above owl seal; with seals of carver and printer l.r.; numbered '268/350' verso
6102202|||||Giovanni Fattori|||||(Italian, 1825 - 1908)|||||Cavallo al pascolo|||||Lot 106 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  600 - 800 EUR|||||Materials: pen and brown ink, and polychrome watercolor on light brown cardboard Measurements: 3.86 in. (9.80 cm.) (height) by 5.51 in. (14.00 cm.) (width) Markings: signed with pen; printed phrase 'Cartolina Commemorativa. The danzante di beneficenza al Palazzo Riccardi. Firenze Aprile 25 1902', and penned phrase 'piccolo ma finissimo acquerello del mio maestro. Giovanni Malesci', verso Condition: framed
6102203|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Vieille Aino. Chikabumi Hokkaido Japon|||||Lot 134 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,000 USD|||||Materials: woodblock print Measurements: 18.75 in. (47.62 cm.) (height) by 14.25 in. (36.20 cm.) (width) Edition: 223/350 Markings: signed c.r. in pencil above owl seal; with seals of carver and printer at right; numbered '223/350' verso Condition: adhesive tape remnants verso
6102204|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Le Marie; Les Vieux Manuscrits; Jeu Princier|||||Lot 135 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 900 - 1,200 USD|||||Materials: woodblock print Measurements: Description: three works Markings: inscribed 'A mon grand ad.... et bon ami Monsieur Frederique Bonsal - Paul Jacoulet le 2 Mars 1957 Kariuzawa Japon' (3) Condition: all laid down and two with mats attached
6102205|||||Edgar Degas|||||(French, 1834 - 1917)|||||Studio di nudo maschile|||||Lot 107 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  6,000 - 8,000 EUR|||||Materials: graphite pencil on light brown paper Measurements: 10.43 in. (26.50 cm.) (height) by 8.07 in. (20.50 cm.) (width) Markings: studio stamp 'Degas', l.r.; artist's stamp, l.l. Condition: framed
6102206|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||The Pearls|||||Lot 136 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 2,000 - 2,500 USD|||||Materials: woodblock print Measurements: Markings: signed l.l. in pencil above peach seal; with seals of carver and printer l.r.; with red seal 'PJ' verso
6102207|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Les Vieux Manuscrits|||||Lot 137 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,000 USD|||||Materials: woodblock print Measurements: Edition: 148/250 Markings: signed c.r. in pencil above ivy seal; with seals of carver and printer l.r.; numbered '148/250' verso
6102208|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Le Bossu|||||Lot 138 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 500 - 700 USD|||||Materials: woodblock print Measurements: 18.75 in. (47.62 cm.) (height) by 14.25 in. (36.20 cm.) (width) Edition: 109/350 Markings: signed l.l. in pencil above ivy seal; with seals of carver and printer l.r.; numbered '109/350' verso; inscribed in pencil verso l.r. Condition: some creases and areas of wear; adhesive tape remnants verso
6102209|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Flocons de Neige|||||Lot 139 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 300 - 400 USD|||||Materials: woodblock print Measurements: Markings: signed l.r. in pencil above peony seal; with seal of carver l.r. Condition: trimmed from all sides; some toning, heavier verso
6102210|||||Edgar Chahine|||||(French, 1874 - 1947)|||||Nudeo femminile disteso|||||Lot 108 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  500 - 700 EUR|||||Materials: red pencil heightened with white pencil on ivory paper Measurements: 6.69 in. (17.00 cm.) (height) by 15.04 in. (38.20 cm.) (width) Markings: signed and dated '1924' with red pencil Condition: framed
6102211|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Les Bons Piments Rouges|||||Lot 140 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 1,200 - 1,500 USD|||||Materials: woodblock print Measurements: Edition: 67/350 Markings: with printer and carver's seals l.r.; numbered '67/350'
6102212|||||Carl Ivanovich Kollmann|||||(Russian, 1788 - 1846)|||||La partenza della recluta. Un soldato gioca con un bambino|||||Lot 109 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  700 - 1,000 EUR|||||Materials: polychrome tempera on paper Measurements: 9.84 in. (25.00 cm.) (height) by 12.60 in. (32.00 cm.) (width) Size Notes: 1; 2: 165 x 128 mm Description: pair Markings: signed and dated '1824' Condition: framed (1-2)
6102213|||||Carl Ivanovich Kollmann|||||(Russian, 1788 - 1846)|||||Slitte tirate da cavalli attraverso la campagna russa|||||Lot 110 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  1,000 - 1,500 EUR|||||Materials: tempera on paper Measurements: 5.79 in. (14.70 cm.) (height) by 8.07 in. (20.50 cm.) (width) Size Notes: each Description: pair Markings: signed and dated '1820' (each) Condition: framed
6102214|||||Ishinsai Gyokuzan|||||(Japanese, )|||||Depicting a tiger and bamboo.|||||Lot 209 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 300 - 400 USD|||||Materials: painting on paper Measurements: 34.50 in. (87.63 cm.) (height) by 21.50 in. (54.61 cm.) (width) Description: early 20th C Markings: signed and marked with seal
6102215|||||Vincenzo Loria|||||(Italian, 1849 - 1939)|||||Marina con pescatori al tramonto|||||Lot 111 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  500 - 700 EUR|||||Materials: graphite pencil and polychrome watercolor on light-brown cardboard Measurements: 12.20 in. (31.00 cm.) (height) by 23.23 in. (59.00 cm.) (width) Markings: signed, l.r. Condition: framed
6102216|||||Attributed to   Tang Yin|||||(Chinese, 17/18th C)|||||Depicting a lohan contemplating Buddha|||||Lot 1006 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 2,000 - 3,000 USD|||||Materials: painting on paper Measurements: 36.00 in. (91.44 cm.) (height) by 16.75 in. (42.54 cm.) (width) Size Notes: sheet: 91.5 x 42.7 in
6102217|||||Gabrielli Carelli|||||(Italian, 1820 - 1900)|||||Barche in secca su una costa orientale|||||Lot 112 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  600 - 800 EUR|||||Materials: polychrome watercolor on light brown cardboard Measurements: 11.89 in. (30.20 cm.) (height) by 21.46 in. (54.50 cm.) (width) Markings: signed and dated '1868', l.l. Condition: framed
6102218|||||Attributed to   Shang Kuan Chou|||||(Chinese, 1655 - 1750)|||||Depicting a scholar, geese, and a goatherd|||||Lot 1007 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 1,000 - 1,500 USD|||||Materials: painting on silk Measurements: 14.00 in. (35.56 cm.) (height) by 12.00 in. (30.48 cm.) (width) Size Notes: visible area Markings: with seal l.r. Condition: framed behind mat
6102219|||||Mario Puccini|||||(Italian, 1869 - 1920)|||||Calafati|||||Lot 113 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  2,000 - 2,500 EUR|||||Materials: charcoal on board Measurements: 1.02 in. (2.60 cm.) (height) by 1.20 in. (3.06 cm.) (width) Markings: collection label 'Romolo Monti', verso
6102220|||||Yu Guo Mei|||||(Chinese, )|||||[Untitled|||||Lot 1010 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 400 - 600 USD|||||Materials: calligraphy on gold-flecked ground Measurements: 22.50 in. (57.15 cm.) (height) by 49.00 in. (124.46 cm.) (width) Markings: with calligraphy signature and two seal marks
6102221|||||Attributed to   Huang Bin|||||(Chinese, 20th/21st C)|||||Depicting mountains and cottages in black ink|||||Lot 1011 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: painting on paper Measurements: 69.00 in. (175.26 cm.) (height) by 18.75 in. (47.62 cm.) (width)
6102222|||||Lino Selvatico|||||(Italian, 1872 - 1924)|||||Ritratto di giovane donna con cappello|||||Lot 114 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  1,500 - 2,000 EUR|||||Materials: black pencil, red and black pastel, white tempera, and watercolor on prepared light brown paper Measurements: 15.16 in. (38.50 cm.) (height) by 10.83 in. (27.50 cm.) (width) Markings: signed and dated '1904', l.r.
6102223|||||Attributed to   Jiang Zhaohe|||||(Chinese, 1904 - 1986)|||||Depicting a young woman working at needlework|||||Lot 1012 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 700 - 900 USD|||||Materials: painting on paper Measurements: 35.50 in. (90.17 cm.) (height) by 19.00 in. (48.26 cm.) (width) Markings: signed and with seal
6102224|||||Andre Dunoyer de Segonzac|||||(French, 1884 - 1974)|||||Les demoiselles de la Marne|||||Lot 115 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  300 - 500 EUR|||||Materials: drypoint Measurements: 11.26 in. (28.60 cm.) (height) by 16.46 in. (41.80 cm.) (width) Size Notes: sheet: 375 x 520 mm Markings: signed with pencil, l.l. Condition: fine with wide margins; minor browning
6102225|||||Attributed to   Jiang Wen Zhi|||||(Chinese, )|||||Depicting a riverside village with plum trees|||||Lot 1013 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 600 - 800 USD|||||Materials: painting on paper Measurements: 53.25 in. (135.26 cm.) (height) by 20.50 in. (52.07 cm.) (width) Description: 20th C
6102226|||||Attributed to   Shun Yue Tao|||||(Chinese, )|||||Depicting a hawk on a pine branch|||||Lot 1014 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 600 - 800 USD|||||Materials: painting on paper Measurements: 33.75 in. (85.72 cm.) (height) by 18.25 in. (46.36 cm.) (width)
6102227|||||Yao Lu Qi|||||(Chinese, )|||||Depicting crabs|||||Lot 1015 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 400 - 600 USD|||||Materials: painting on paper Measurements: 25.50 in. (64.77 cm.) (height) by 12.75 in. (32.39 cm.) (width) Markings: signed and with seal
6102228|||||Yao Lu Qi|||||(Chinese, )|||||Depicting two yellow birds and wisteria|||||Lot 1016 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 400 - 600 USD|||||Materials: painting on paper Measurements: 37.50 in. (95.25 cm.) (height) by 18.00 in. (45.72 cm.) (width) Markings: signed and with seal
6102229|||||Yao Lu Qi|||||(Chinese, )|||||Depicting lotus and lotus leaves|||||Lot 1017 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 400 - 600 USD|||||Materials: painting on paper Measurements: 41.50 in. (105.41 cm.) (height) by 13.25 in. (33.66 cm.) (width) Markings: signed and with seal
6102230|||||Marino Marini|||||(Italian, 1901 - 1980)|||||Chevaux et cavaliers VIII|||||Lot 116 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  500 - 800 EUR|||||Materials: 7-color lithograph on Aches paper Measurements: 15.55 in. (39.50 cm.) (height) by 20.47 in. (52.00 cm.) (width) Size Notes: sheet: 500 x 650 mm Edition: AP (edition of 80 + 3 + 3 HCs) Description: pl. 8 from series: Chevaux et cavaliers, published by SociAtA International daArt XXe SiA cle and printed by Mourlot in 1972 Markings: signed with pencil, l.r.; numbered 'E.A.' Condition: fine with wide margins
6102231|||||Attributed to   Yu Feian|||||(Chinese, 1888 - 1959)|||||Depicting pink lotus and leaves with calligraphy|||||Lot 1018 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: painting on paper Measurements: 48.00 in. (121.92 cm.) (height) by 12.75 in. (32.39 cm.) (width) Markings: with seals
6102232|||||Fan Zeng|||||(Chinese, 1938)|||||Depicting a boy playing a board game with a monkey|||||Lot 1019 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 2,000 - 3,000 USD|||||Materials: painting on paper Measurements: 52.75 in. (133.98 cm.) (height) by 26.00 in. (66.04 cm.) (width) Markings: signed and with two seals
6102233|||||Yao Lu Qi|||||(Chinese, )|||||Depicting two mandarin ducks and lotus|||||Lot 1021 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 400 - 600 USD|||||Materials: painting on paper Measurements: 31.00 in. (78.74 cm.) (height) by 12.25 in. (31.12 cm.) (width) Markings: signed and with seal
6102234|||||Attributed to   Chen Shao Mei|||||(Chinese, 1839 - 1896)|||||Depicting two mountain landscapes with scholars|||||Lot 1024 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,000 USD|||||Materials: paintings on paper Measurements: 37.00 in. (93.98 cm.) (height) by 7.50 in. (19.05 cm.) (width) Size Notes: each Description: two works Condition: mounted together
6102235|||||Yao Lu Qi|||||(Chinese, )|||||Depicting a crane and marsh grasses|||||Lot 1025 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 400 - 600 USD|||||Materials: painting on paper Measurements: 40.00 in. (101.60 cm.) (height) by 13.25 in. (33.66 cm.) (width) Markings: signed and with seal
6102236|||||Alberto Martini|||||(Italian, 1876 - 1954)|||||Edgar Allan Poe|||||Lot 117 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  2,000 - 2,500 EUR|||||Materials: pen and India ink on light brown cardboard Measurements: 12.20 in. (31.00 cm.) (height) by 8.15 in. (20.70 cm.) (width) Size Notes: sheet: 363 x 253 mm Description: frontispiece for Poe's work Markings: signed twice with pen nad pencil, l.r.; titled with pen, l.c.
6102237|||||Attributed to   Shan Shou|||||(Chinese, 20th C)|||||Depicting a woman beneath a willow tree|||||Lot 1146 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: painting on paper Measurements: 42.25 in. (107.32 cm.) (height) by 19.25 in. (48.89 cm.) (width)
6102238|||||Giorgio Morandi|||||(Italian, 1890 - 1964)|||||Paesaggio di Grizzana|||||Lot 118 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  6,000 - 7,000 EUR|||||Materials: copper etching Measurements: 11.69 in. (29.70 cm.) (height) by 9.45 in. (24.00 cm.) (width) Size Notes: sheet: 515 x 353 mm Edition: 21/60 Description: 1/2 states Markings: signed, dated '1932', and numbered '21/60' with pencil; dry stamped 'Libreria Prandi di Reggio Emilia', l.r. Condition: fine with wide margins; toning
6102239|||||Zhou Yuanshi|||||(Chinese, early 20th C)|||||Depicting scholars and children in a garden setting.|||||Lot 1149 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 1,000 - 1,500 USD|||||Materials: painting on silk Measurements: 13.50 in. (34.29 cm.) (height) by 21.75 in. (55.25 cm.) (width) Markings: signed and with seal
6102240|||||Qian Du|||||(Chinese, 1763 - 1844)|||||Depicting mythological figures in a mountain landscape with pavilions|||||Lot 1151 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 1,000 - 1,500 USD|||||Materials: painting on silk Measurements: 59.50 in. (151.13 cm.) (height) by 31.30 in. (79.50 cm.) (width) Markings: signed and with seal mark 'Qian Shu Mei'
6102241|||||Xijiang Wang|||||(Chinese, 20th C)|||||Depicting two ladies|||||Lot 1153 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 1,000 - 1,500 USD|||||Materials: painting on paper Measurements: 53.75 in. (136.52 cm.) (height) by 27.00 in. (68.58 cm.) (width) Markings: with cursive calligraphy
6102242|||||Attributed to   Zhang Daqian|||||(Chinese, 1899 - 1983)|||||Depicting a woman with two geese|||||Lot 1154 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 4,000 - 6,000 USD|||||Materials: painting on paper Measurements: 45.25 in. (114.93 cm.) (height) by 25.00 in. (63.50 cm.) (width)
6102243|||||Attributed to   Wenxi Liu|||||(Chinese, 20th C)|||||Depicting an elderly bearded man|||||Lot 1155 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 700 - 900 USD|||||Materials: painting on paper Measurements: 17.70 in. (44.96 cm.) (height) by 15.60 in. (39.62 cm.) (width)
6102244|||||Giorgio Morandi|||||(Italian, 1890 - 1964)|||||Grande natura morta con la lampada a destra|||||Lot 119 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  27,000 - 35,000 EUR|||||Materials: copper etching on Japon paper Measurements: 10.00 in. (25.40 cm.) (height) by 13.58 in. (34.50 cm.) (width) Size Notes: sheet: 490 x 647 mm Edition: edition of 3 HCs + 75 Description: Grafica Nova di Milano for Lamberto Vitali; 8/8 states Markings: signed with pencil and dry stamped 'Libreria Prandi di Reggio Emilia', l.r.; inscribed 'h.c.', l.l.; inscribed with pencil 'Morandi deposito', bottom margin Condition: fine with rich inking and wide margins
6102245|||||Henry Moore|||||(British, 1898 - 1986)|||||Reclining figure|||||Lot 120 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  3,500 - 4,500 EUR|||||Materials: black pencil and watercolor on light brown paper Measurements: 11.81 in. (30.00 cm.) (height) by 15.35 in. (39.00 cm.) (width) Markings: signed and dated '32' with pencil, l.r.; 2 Basil gallery labels 'Beyeler', mount verso
6102246|||||Laurence Stephen Lowry|||||(British, 1887 - 1976)|||||Street scene|||||Lot 94 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  300 - 400 GBP|||||Materials: colored gulid stamped print Measurements: 10.63 in. (27.00 cm.) (height) by 8.27 in. (21.00 cm.) (width) Markings: signed in pencil
6102247|||||Laurence Stephen Lowry|||||(British, 1887 - 1976)|||||The Family|||||Lot 95 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  400 - 600 GBP|||||Materials: colored guild stamped print Measurements: 11.02 in. (28.00 cm.) (height) by 8.86 in. (22.50 cm.) (width) Markings: signed in pen
6102248|||||Laurence Stephen Lowry|||||(British, 1887 - 1976)|||||Three men and a cat|||||Lot 93 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  500 - 800 GBP|||||Materials: colored guild stamped print Measurements: 10.63 in. (27.00 cm.) (height) by 6.89 in. (17.50 cm.) (width) Markings: signed in pen; with Unicorn Gallery Ltd, Wilmslow label verso
6102249|||||Lorenzo Viani|||||(Italian, 1882 - 1936)|||||Madre e figlio|||||Lot 121 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  3,500 - 4,500 EUR|||||Materials: black chalk, white tempera, and green pastel on board Measurements: 33.15 in. (84.20 cm.) (height) by 24.80 in. (63.00 cm.) (width) Condition: framed
