Todd Norsten|||||(American, 196721st C)|||||Festus|||||Lot 225 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||Bought In|||||Estimate: $ 4,000 - 6,000 USD|||||Materials: oil on canvas Measurements: 78.00 in. (198.12 cm.) (height) by 66.00 in. (167.64 cm.) (width) Markings: signed and dated to verso  Todd Norsten 2006'
Peter Max|||||(American, German, 1937)|||||Congressional Arts Caucus|||||Lot 246 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 700 - 900 USD|||||Materials: poster Measurements: 36.00 in. (91.44 cm.) (height) by 24.00 in. (60.96 cm.) (width) Markings: signed and dated in marker
Dan Walsh|||||(American, 1960)|||||Store|||||Lot 226 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 15,000 USD 13,418 EUR 9,853 GBP|||||Original Currency of Sale: $ 15,000 USD Premium Estimate: $ 15,000 - 20,000 USD|||||Materials: oil on canvas Measurements: 39.50 in. (100.33 cm.) (height) by 39.50 in. (100.33 cm.) (width) Markings: signed and dated 'Dan Walsh 1999', verso
Michio Takayama|||||(Japanese, 1903 - 1994)|||||Meditation in blue|||||Lot 227 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 9,600 USD 8,587 EUR 6,306 GBP|||||Original Currency of Sale: $ 9,600 USD Premium Estimate: $ 2,000 - 3,000 USD|||||Materials: oil on canvas Measurements: 50.00 in. (127.00 cm.) (height) by 56.00 in. (142.24 cm.) (width) Markings: signed 'M. Takayama', l.r.
Clayton Pond|||||(American, 1941)|||||Column Study 6 from Capital Ideas Portfolio|||||Lot 247 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 400 - 600 USD|||||Materials: silkscreen Measurements: 31.00 in. (78.74 cm.) (height) by 24.00 in. (60.96 cm.) (width) Size Notes: image; Size: 37 x 29 in Edition: ed. of 150 Markings: signed and numbered in pencil
Shinpei Kageshima|||||(Japanese, 1985)|||||Untitled|||||Lot 228 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 3,000 USD 2,683 EUR 1,970 GBP|||||Original Currency of Sale: $ 3,000 USD Premium Estimate: $ 3,000 - 5,000 USD|||||Materials: oil on canvas Measurements: 44.00 in. (111.76 cm.) (height) by 57.25 in. (145.42 cm.) (width)
Nadine Prado|||||(Mexican, 20th/21st C)|||||Green Wired|||||Lot 248 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 200 USD 178 EUR 131 GBP|||||Original Currency of Sale: $ 200 USD Hammer Estimate: $ 400 - 600 USD|||||Materials: silkscreen Measurements: 40.00 in. (101.60 cm.) (height) by 30.00 in. (76.20 cm.) (width) Edition: AP Markings: signed in pencil
Mel Ramos|||||(American, 1935)|||||Giant Panda|||||Lot 249 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 2,500 - 3,500 USD|||||Materials: lithograph Measurements: 25.50 in. (64.77 cm.) (height) by 29.00 in. (73.66 cm.) (width) Edition: ed. of 199 Markings: signed and numbered in pencil
Mel Ramos|||||(American, 1935)|||||Titleist Tillie|||||Lot 250 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 2,800 USD 2,504 EUR 1,839 GBP|||||Original Currency of Sale: $ 2,800 USD Hammer Estimate: $ 2,500 - 3,500 USD|||||Materials: lithograph Measurements: 45.00 in. (114.30 cm.) (height) by 30.00 in. (76.20 cm.) (width) Edition: ed. of 199 Markings: signed and numbered in pencil
Bernard Rancillac|||||(French, 1931)|||||Sammy Davis, Jr. (Blue and Orange)|||||Lot 251 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 500 - 600 USD|||||Materials: lithograph Measurements: 30.50 in. (77.47 cm.) (height) by 19.00 in. (48.26 cm.) (width) Size Notes: image; Size: 36 x 23.5 in. Edition: ed. of 30 Markings: signed and numbered in pencil
