Ina Sjostrom|||||(Finnish, 1883 - 1969)|||||Autumn|||||Lot 149 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 136 USD 120 EUR 88 GBP|||||Original Currency of Sale:   120 EUR Hammer Estimate:   200 EUR|||||Materials: oil Measurements: 14.96 in. (38.00 cm.) (height) by 18.90 in. (48.00 cm.) (width) Markings: signed
Rudolf Akerblom|||||(Finnish, 1849 - 1925)|||||[Untitled]|||||Lot 151 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||Bought In|||||Estimate:   250 EUR|||||Materials: oil Measurements: 3.54 in. (9.00 cm.) (height) by 5.71 in. (14.50 cm.) (width) Markings: signed
Hugo Backmansson|||||(Finnish, 1860 - 1953)|||||[Untitled]|||||Lot 152 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||Bought In|||||Estimate:   200 EUR|||||Materials: watercolor Measurements: Markings: signed
Lucio Fontana|||||(Italian, 1899 - 1968)|||||Concetto spaziale|||||Lot 206 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||$ 21,484 USD 20,000 EUR 14,275 GBP|||||Original Currency of Sale:   20,000 EUR Hammer Estimate:   18,000 - 24,000 EUR|||||Materials: holes and graffito on pink tinfoil Measurements: 11.42 in. (29.00 cm.) (height) by 10.75 in. (27.30 cm.) (width) Edition: Unique work Description: Certificate of the Foundation Lucio Fontana under n. 2389/25 Markings: Signed  L.Fontana  lower right
Alberto Biasi|||||(Italian, 1937)|||||Inganni di Afrodite|||||Lot 207 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||$ 9,130 USD 8,500 EUR 6,066 GBP|||||Original Currency of Sale:   8,500 EUR Hammer Estimate:   12,000 - 15,000 EUR|||||Materials: mixed media on board Measurements: 15.94 in. (40.50 cm.) (height) by 13.78 in. (35.00 cm.) (width) Description: Certificate issued by the artist, with stamp of the Archivio 
Alberto Biasi Markings: Signed, titled, dated  Alberto Biasi, Inganni di Afrodite, 1982  verso
Serge Poliakoff|||||(Russian, 1906 - 1969)|||||Composition Orange|||||Lot 14 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 3,446 USD 3,223 EUR 2,256 GBP|||||Original Currency of Sale:   3,223 EUR Premium Estimate:   3,000 - 3,500 EUR|||||Materials: color lithograph Measurements: 17.52 in. (44.50 cm.) (height) by 23.82 in. (60.50 cm.) (width) Size Notes: image size; plate size: 50 x 66.5 cm. Edition: 29/95 Markings: numbered 29/95
Peter Hagen|||||(American, 1944)|||||Life in my studio|||||Lot 358 - Brunk Auctions, Asheville (November 06, 2015)|||||Auction (Sale )|||||Bought In|||||Estimate: $ 300 - 500 USD|||||Materials: oil on canvas board Measurements: 12.00 in. (30.48 cm.) (height) by 10.00 in. (25.40 cm.) (width) Markings: signed lower right P. Hagen and signed and titled verso Condition: gilt wood frame, good condition
Brion Gysin|||||(French, 1916 - 1986)|||||Sans titre|||||Lot 15 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   2,000 - 2,500 EUR|||||Materials: watercolor and India ink on paper Measurements: 12.80 in. (32.50 cm.) (height) by 9.45 in. (24.00 cm.) (width) Markings: monogrammed and dated l.r.
Jean Miotte|||||(French, 1926)|||||Sans titre|||||Lot 16 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 8,274 USD 7,737 EUR 5,418 GBP|||||Original Currency of Sale:   7,737 EUR Premium Estimate:   6,000 - 8,000 EUR|||||Materials: oil on canvas Measurements: 28.74 in. (73.00 cm.) (height) by 36.22 in. (92.00 cm.) (width) Description: certificate from Fondation Jean Miotte included with lot Markings: signed verso
