Carlo Dominici|||||(Italian, 1897 - 1981)|||||Pastorelli e asinello|||||Lot 577 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  400 - 450 EUR|||||Materials: oil on board Measurements: 7.87 in. (20.00 cm.) (height) by 4.72 in. (12.00 cm.) (width) Markings: signed u.r.
Gino Romiti|||||(Italian, 1881 - 1967)|||||Pescatori al chiaro di luna|||||Lot 578 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  300 - 350 EUR|||||Materials: oil on board Measurements: 5.71 in. (14.50 cm.) (height) by 3.94 in. (10.00 cm.) (width) Markings: signed l.l.
Medardus Kruchen|||||(German, 1877 - 1957)|||||Stillleben mit MAhren|||||Lot 10929 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  330 EUR|||||Materials: oil on burlap Measurements: 29.92 in. (76.00 cm.) (height) by 24.41 in. (62.00 cm.) (width) Markings: signed 'Kruchen' l.r.; titled as well as inscribed 'Medardus Kruchen DA14sseldorf' on stretcher verso Condition: framed
Renato Natali|||||(Italian, 1883 - 1979)|||||Alla fonte|||||Lot 579 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  800 - 900 EUR|||||Materials: oil on board Measurements: 19.69 in. (50.00 cm.) (height) by 14.17 in. (36.00 cm.) (width) Markings: signed l.r.
Susanne Kandt-Horn|||||(German, 1914 - 1996)|||||FingerhA14te|||||Lot 10946 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  1,800 EUR|||||Materials: oil on cardboard Measurements: 27.95 in. (71.00 cm.) (height) by 23.62 in. (60.00 cm.) (width) Markings: monogrammed and dated 'SKH (19)68' l.r.; signed, dated and titled verso Condition: framed
Carlo Dominici|||||(Italian, 1897 - 1981)|||||La valdana, Elba|||||Lot 580 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  800 - 900 EUR|||||Materials: oil Measurements: 18.90 in. (48.00 cm.) (height) by 12.99 in. (33.00 cm.) (width) Markings: signed l.r.
Chinese School|||||(Chinese, )|||||Pavilion in landscape|||||Lot 860 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 230,000 - 330,000 HKD|||||Materials: color on silk Measurements: 19.29 in. (49.00 cm.) (height) by 19.29 in. (49.00 cm.) (width) Size Notes: dia Description: scrolled Markings: marked on the right, marked inside the box cover in chinese characters
Attributed to   Chen Luo|||||(Chinese, 1558 - 1639)|||||The Qiong island, Scolled|||||Lot 861 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 140,000 - 190,000 HKD|||||Materials: color on silk Measurements: 18.31 in. (46.50 cm.) (height) by 249.02 in. (632.50 cm.) (width) Description: scrolled Markings: titled in Chinese charactersi14signed in Chinese charactersi14marked
Style of   Qiu Ying|||||(Chinese, 1482 - 1559)|||||Twenty-eight stars|||||Lot 862 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 80,000 - 120,000 HKD|||||Materials: color on silk Measurements: 10.63 in. (27.00 cm.) (height) by 167.32 in. (425.00 cm.) (width) Description: scrolled Markings: signed on the left in chinese characters
Wang Hui|||||(Chinese, 1632 - 1717)|||||Elderly hiking on hill|||||Lot 863 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 100,000 - 150,000 HKD|||||Materials: ink on paper Measurements: 33.86 in. (86.00 cm.) (height) by 14.57 in. (37.00 cm.) (width) Description: scrolled Markings: signed on the upper right in Chinese charactersi14marked
Yi Yuanji|||||(Chinese, Circa1000 - 1064)|||||Monkey fishing moon|||||Lot 864 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 32,000 - 52,000 HKD|||||Materials: color on silk Measurements: 10.24 in. (26.00 cm.) (height) by 10.24 in. (26.00 cm.) (width) Size Notes: dia Description: scrolled
Woiciech von Kossak|||||(Polish, 1857 - 1942)|||||Cavalry charge|||||Lot 371 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,000 - 3,000 USD|||||Materials: oil on canvas Measurements: 27.50 in. (69.85 cm.) (height) by 37.50 in. (95.25 cm.) (width) Size Notes: sheet; DOA 36 x 45.25 in Description: presented in the likely original gilt frame Markings: signed and dated 1931 at lower right Condition: lined. Some buckling along top edge of canvas; over-cleaned; no evidence of in-painting visible under black light. presented in the likely original gilt frame.
Gai Qi|||||(Chinese, 1773 - 1828)|||||Lady holding flower|||||Lot 865 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 45,000 - 65,000 HKD|||||Materials: color on silk Measurements: 30.20 in. (76.70 cm.) (height) by 9.65 in. (24.50 cm.) (width) Description: scrolled Markings: signed on the upper right in Chinese charactersi14 marked
Ye Daoben|||||(Chinese, )|||||Plucking ganoderma|||||Lot 866 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 10,000 - 15,000 HKD|||||Materials: color on paper Measurements: 34.45 in. (87.50 cm.) (height) by 16.61 in. (42.20 cm.) (width) Description: scrolled Markings: signed on the upper right in Chinese charactersi14marked
Jesus Villar|||||(Spanish, 1930)|||||Apple sellers|||||Lot 372 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,000 - 2,000 USD|||||Materials: oil on canvas Measurements: 25.00 in. (63.50 cm.) (height) by 38.50 in. (97.79 cm.) (width) Size Notes: sheet; DOA 32 x 45.5 in. Markings: signed at lower right Condition: presented in the original frame with linen liner. No apparent condition concerns.
Abel Hold|||||(British, 1815 - 1891)|||||Still life on a mossy bank|||||Lot 374 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 300 - 600 USD|||||Materials: oil on canvas Measurements: 11.50 in. (29.21 cm.) (height) by 13.50 in. (34.29 cm.) (width) Size Notes: sheet; DOA 17.25 x 19.25 in. Markings: signed and dated 1881 at lower right, the canvas with Geo. Rowney & Co. of London stencil Condition:  Three patches on the verso; stable craquelure.
Thomas James Lloyd|||||(British, 1849 - 1910)|||||The bridge|||||Lot 377 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: watercolor on paper Measurements: 7.00 in. (17.78 cm.) (height) by 13.50 in. (34.29 cm.) (width) Size Notes: sheet; DOA 19 x 25.75 in. Markings: signed at lower left Condition: matted and framed under glass. Some scattered foxing; not examined out of the frame.
Anna Palm|||||(Swedish, 1859 - 1924)|||||View of Stockholm palace|||||Lot 378 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,000 - 3,000 USD|||||Materials: watercolor and gouache on paper Measurements: 5.00 in. (12.70 cm.) (height) by 15.75 in. (40.00 cm.) (width) Size Notes: sheet; DOA 11.5 x 22 in. Markings: signed and inscribed at lower left Condition: presented under glass with the original gilt mat and wood frame, Not examined out of the frame.
Montague Dawson|||||(British, 1895 - 1973)|||||he Fight between Chesapeake and Shannon off Boston, May 1813|||||Lot 379 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 2,000 - 4,000 USD|||||Materials: pen and ink drawing on paper Measurements: 7.25 in. (18.42 cm.) (height) by 12.12 in. (30.78 cm.) (width) Size Notes: sheet; DOA 13 x 17.5 in. Description: Accompanied by a letter of authenticity from Gladwell & Patterson, London Markings: signed at lower left Condition: matted and framed under glass.
Richard Stone|||||(British, fl. 1906-1909)|||||Portrait of a woman|||||Lot 382 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 600 - 900 USD|||||Materials: oil on canvas Measurements: 48.25 in. (122.55 cm.) (height) by 36.00 in. (91.44 cm.) (width) Markings: signed and dated 1905 at upper left Condition: unframed. Minor abrasions with some paint loss in upper half of painting; two vertical tears in lower half of painting.
Martino|||||(Italian, )|||||Temporale|||||Lot 581 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  400 - 450 EUR|||||Materials: oil Measurements: 7.87 in. (20.00 cm.) (height) by 4.72 in. (12.00 cm.) (width)
Ernst Brocker|||||(German, 1893 - 1963)|||||Herbstlandschaft mit Bachlauf bei Kiefersfelden am Kaisergebirge|||||Lot 10957 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  300 EUR|||||Materials: oil on canvas Measurements: 27.56 in. (70.00 cm.) (height) by 31.50 in. (80.00 cm.) (width) Markings: signed 'E. BrAcker' l.r.; inscribed with location on the stretcher verso Condition: framed
Giacomo Picollo|||||(Italian, 1905 - 1988)|||||Stradina di paese|||||Lot 582 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  300 - 350 EUR|||||Materials: oil Measurements: 14.96 in. (38.00 cm.) (height) by 11.02 in. (28.00 cm.) (width)
Ernst Tannert|||||(German, 1865)|||||An der alten WassermA14hle|||||Lot 10958 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  280 EUR|||||Materials: oil on canvas Measurements: 23.62 in. (60.00 cm.) (height) by 31.50 in. (80.00 cm.) (width) Markings: signed 'E. Tannert' l.l. Condition: damaged; framed
Alberto Pinto|||||(Portuguese, 1861 - 1939)|||||A young girl in Brittany|||||Lot 383 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 600 - 900 USD|||||Materials: oil on canvas Measurements: 15.50 in. (39.37 cm.) (height) by 9.00 in. (22.86 cm.) (width) Size Notes: sheet; DOA 23 x 16.5 in. Markings: signed at lower left Condition: presented in a period gilt composition frame.
Hans Maurus|||||(German, 1901 - 1942)|||||Verschneite Berggipfel|||||Lot 10959 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  300 EUR|||||Materials: oil on artist's board Measurements: 25.59 in. (65.00 cm.) (height) by 35.43 in. (90.00 cm.) (width) Markings: signed 'Maurus' l.l. Condition: framed
William R Stone|||||(British, 1842 - 1913)|||||Returning home|||||Lot 415 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 600 - 900 USD|||||Materials: oil on canvas Measurements: 16.00 in. (40.64 cm.) (height) by 26.25 in. (66.68 cm.) (width) Size Notes: sheet; DOA 23 x 33.25 in Markings: signed and dated 1873 at lower right Condition: lined. presented in a period appropriate ornate gilt frame.
Edgard Fievez|||||(Belgian, 1880 - 1976)|||||Waldweg im Sonnenlicht|||||Lot 10973 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  390 EUR|||||Materials: oil on canvas Measurements: 19.69 in. (50.00 cm.) (height) by 15.75 in. (40.00 cm.) (width) Markings: signed l.r.; estate stamp verso Condition: framed
Francis Norton Johnson|||||(American, 1878 - 1931)|||||Farmyard|||||Lot 416 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,000 - 3,000 USD|||||Materials: oil on board Measurements: 17.50 in. (44.45 cm.) (height) by 21.00 in. (53.34 cm.) (width) Size Notes: sheet; DOA 27.25 x 31 in Markings: signed at lower left F. Morton Johnson, several inscriptions on the verso including Cour de Ferme Condition: resented in a period gilt composition frame. Slight warp to board.
Philip Arctander|||||(Danish, 1916 - 1994)|||||Paire De Fauteuils 'Clam'|||||Lot 1 - Artcurial - Briest, Poulain, F. Tajan, Paris (December 01, 2015)|||||Design Scandinave (Sale 2858)||||||||||Estimate:  15,000 - 20,000 EUR|||||Materials: structure, legs and armrests in oak, lined with sheepwool Measurements: 31.50 in. (80.00 cm.) (height) by 25.98 in. (66.00 cm.) (width) by 35.43 in. (90.00 cm.) (depth) Description: produced by Vik & Blindheim
William Eadie|||||(Scottish, 1846 - 1926fl.1880-1894)|||||On the lookout|||||Lot 419 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: oil on canvas Measurements: 15.50 in. (39.37 cm.) (height) by 23.50 in. (59.69 cm.) (width) Size Notes: sheet; DOA 21.5 x 29.5 in Markings: bears partial signature at lower right Condition: presented in an the likely original antique frame.
Henry Marko|||||(Italian, 1855 - 1921)|||||Paese sulla collina|||||Lot 593 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  1,200 - 1,400 EUR|||||Materials: oil Measurements: 39.37 in. (100.00 cm.) (height) by 23.62 in. (60.00 cm.) (width) Markings: signed l.r. Condition: defects
George Horne Russell|||||(Canadian, 1861 - 1933)|||||Left in charge|||||Lot 420 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 300 - 500 USD|||||Materials: oil on canvas, Measurements: 6.75 in. (17.14 cm.) (height) by 9.50 in. (24.13 cm.) (width) Size Notes: sheet; DOA 9.62 x 12.37 in Markings: signed at lower right, inscribed in pencil on the stretcher Left in Charge," Condition: presented in the likely original gilt frame with stamped decoration. Craquelure; small area of paint loss at center right edge of canvas; some gilt and surface grime.
Hans Lorenz|||||(1891)|||||Stillleben mit FrauenbA14ste und Hand|||||Lot 10976 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  220 EUR|||||Materials: oil on canvas Measurements: 21.65 in. (55.00 cm.) (height) by 24.80 in. (63.00 cm.) (width) Markings: signed 'Lorenz' l.l.
Charles Frederick Lowcock|||||(British, 1848 - 1952)|||||Woman in Rose|||||Lot 421 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: oil on mahogany panel Measurements: 18.50 in. (46.99 cm.) (height) by 8.25 in. (20.96 cm.) (width) Markings: signed at lower left C. F. Lowcock Condition: unframed. Some minor abrading to edges from frame and by figure's foot.
